12개월누적수익률(퍼센트),1개월누적수익률(퍼센트),3개월누적수익률(퍼센트),6개월누적수익률(퍼센트),상품명,선취수수료(퍼센트),운용사명,총보수(퍼센트),펀드등급,펀드유형
"-3.45","8.85","6.70","0.78","iM에셋월드광업주H(주식-재간접)A","1.0000","iM에셋자산운용(구 하이)","1.560",1,"재간접투자"
"-3.93","8.81","6.57","0.53","iM에셋월드광업주H(주식-재간접)C1","0.0000","iM에셋자산운용(구 하이)","2.060",1,"재간접투자"
"-3.54","8.84","6.67","0.73","iM에셋월드광업주H(주식-재간접)Ce","0.0000","iM에셋자산운용(구 하이)","1.660",1,"재간접투자"
"-2.47","8.93","6.96","1.28","iM에셋월드광업주H(주식-재간접)C-W","0.0000","iM에셋자산운용(구 하이)","0.580",1,"재간접투자"
"-3.05","8.88","6.80","0.98","iM에셋월드광업주H(주식-재간접)C-p","0.0000","iM에셋자산운용(구 하이)","1.160",1,"재간접투자"
"-2.75","8.90","6.88","1.13","iM에셋월드광업주H(주식-재간접)C-pe","0.0000","iM에셋자산운용(구 하이)","0.860",1,"재간접투자"
"21.90","6.95","10.68","7.22","교보파워인덱스(주식-파생형)A","1.0000","교보악사자산운용","0.760",2,"파생상품"
"22.45","6.98","10.81","7.47","교보파워인덱스(주식-파생형)Ae","0.5000","교보악사자산운용","0.300",2,"파생상품"
"8.57","3.22","5.82","5.01","교보악사투모로우장기우량증권A","0.0200","교보악사자산운용","0.119",5,"채권형"
"19.65","7.00","10.85","7.54","교보파워인덱스(주식-파생형)B","0.0300","교보악사자산운용","0.159",2,"파생상품"
"19.65","7.00","10.85","7.54","교보파워인덱스(주식-파생형)A2","0.0300","교보악사자산운용","0.159",2,"파생상품"
"8.36","3.21","5.77","4.91","교보악사투모로우장기우량증권A2","0.3000","교보악사자산운용","0.319",5,"채권형"
"8.25","3.20","5.75","4.86","교보악사투모로우장기우량증권C1","0.0000","교보악사자산운용","0.419",5,"채권형"
"8.41","3.21","5.79","4.93","교보악사투모로우장기우량증권CE","0.0000","교보악사자산운용","0.269",5,"채권형"
"8.31","3.20","5.76","4.88","교보악사투모로우장기우량C-P2","0.0000","교보악사자산운용","0.369",5,"채권형"
"22.02","6.95","10.71","7.27","교보파워인덱스(주식파생)C-P2","0.0000","교보악사자산운용","0.660",2,"파생상품"
"8.57","3.22","5.82","5.01","교보악사투모로우장기우량증권C-W","0.0000","교보악사자산운용","0.119",5,"채권형"
"22.62","7.00","10.85","7.54","교보파워인덱스(주식-파생형)C-W","0.0000","교보악사자산운용","0.159",2,"파생상품"
